,title,body,URL
0,Super guarantee penalties,"If you do not meet your super guarantee (SG) obligations, you may have to pay additional penalties or charges on top of the super guarantee charge (SGC).
You're liable for a Part 7 penalty – Superannuation Guarantee (Administration) Act 1992 (SGAA) if you:
lodge your SGC statement late, or
fail to provide a statement or information when requested during an audit.
The maximum penalty is 200% of the SGC.
If you pay less of the SGC than you should because you made a false or misleading statement, you may receive an administrative penalty.
The base penalty amount can:
be up to 75% of the shortfall
vary according to your situation.
If you make arrangements to avoid super guarantee obligations, you may incur the charge you avoided plus an additional penalty.
If you are a director of a company, you need to pay the SGC in full by the due date. If you do not, you'll be liable for a penalty equal to the unpaid amount.
When an SGC amount remains outstanding, we may issue a director penalty notice. Even without issuing a notice, we can collect the penalty by other means. For example, by withholding a tax refund.
The penalty is reduced if your company pays the outstanding amount at any time. Under some conditions, it may be reduced if your company goes into voluntary administration or liquidation.
This additional charge applies if you:
lodge an SGC statement, or
we have raised SGC assessments but you do not pay the super guarantee charge by the due date.
GIC:
will continue to increase from the date your SGC is due up to the date you pay your SGC amount in full
is calculated on a daily compounding basis
is tax-deductible in the year you incur it.
If you do not comply with your choice of fund obligations you could receive a 'choice shortfall' penalty.
A choice shortfall penalty applies if you:
do not give your eligible employee a Superannuation standard choice form within the required timeframe
pay your eligible employee's super to a complying fund but not the fund they chose or not their stapled super fund (if one exists) for a new employee from 1 November that did not choose a fund – you can request stapled super fund details for employees from us
charge your employee a fee for implementing their choice of fund.
The choice shortfall penalty increases the SGC.
The maximum fine for an individual convicted of failing to keep records is 30 penalty units. You may also be liable for an administrative penalty of 20 penalty units.
If an eligible employee has provided a TFN to you and you do not provide the employee's TFN to their super fund or retirement savings account within the required time, you're liable 10 penalty units.
The TFN is required at the time you make the super guarantee contribution. If the employee provides the TFN to you less than 14 days before the next contribution, you must pass on the TFN within 14 days.
If you don't meet your super guarantee (SG) obligations, you may have to pay additional penalties or charges on top of the super guarantee charge.",https://www.ato.gov.au/Business/Super-for-employers/missed-and-late-super-guarantee-payments/super-guarantee-penalties/
1,Bilateral social security agreements,"Bilateral social security agreements are international agreements Australia has entered into with some countries to prevent double payment of super.
Employees are only eligible to apply for a certificate of coverage if they accept an Australian employer's offer to work temporarily overseas. The nominated country must have a bilateral social security agreement with Australia.
You are not eligible if:
you're an employee and you take a new job opportunity overseas
you're self-employed.
Bilateral social security agreements deal with the issue of 'double super coverage'. This occurs when an employer sends an employee to work temporarily overseas and is required to pay super (or equivalent) in both countries.
These agreements allow employers to apply for a certificate of coverage. The certificate exempts the employer from paying super (or equivalent) in the other country.
With a certificate of coverage, the employee is covered by a bilateral social security agreement. The super guarantee (SG) contributions are only required under the law of the country that your employee is most likely to retire in.
For each country there is a specific:
start date for the bilateral agreement
maximum period for a certificate of coverage.
These are set out in Countries with an agreement.
Example: sending an Australian employee to work temporarily overseas
Misha's Australian employer sends her to work in Austria for 2 years. While working in Austria, Misha is covered by Australia's super guarantee (SG) legislation and the Austrian laws. Therefore, double super coverage occurs.
Misha's employer can apply for a certificate of coverage. This will exempt Misha and her employer from making super contributions under the Austrian law.
Micha's employer must continue to make SG contributions in Australia.
End of example
Bilateral agreements only apply to employee SG contributions made on or after the start date of the relevant agreement.
Generally, for:
self-employed people – are not subject to SG in Australia and there is no double liability for superannuation
diplomats and consular officials – the agreements apply, however the provisions of the Vienna Conventions on Diplomatic or Consular relations are not affected
workers on a ship or aircraft in international traffic – the laws of the worker's resident country apply (except Japan)
government workers – there is no maximum period for a certificate of coverage.
There are exceptions to these rules, which are explained in Countries with an agreement.
The following countries have a bilateral social security agreement with Australia. These agreements all work in the way explained above. In addition, a few have special rules, which are noted below.
Country

Agreement start date

Maximum period for certificate of coverage



Austria

1 December 2012

5 years



Belgium

1 July 2005

5 years



Chile

1 July 2004

4 years



Croatia (check special rules)

1 July 2004

4 years



Czech Republic

1 July 2011

5 years



Finland

1 July 2009

5 years



Germany (check special rules)

1 October 2008

4 or 5 years



Greece (check special rules)

1 October 2008

4 years



Hungary

1 October 2012

4 years



India

1 January 2016

5 years



Ireland

1 January 2006

4 years



Japan

1 January 2009

5 years



Korea

1 October 2008

5 years



Latvia

1 January 2013

4 years



Netherlands

1 April 2003

5 years



Norway (check special rules)

1 January 2007

3 years



Portugal

1 October 2002

4 years



Republic of Estonia

1 January 2018

4 years



Republic of Poland

1 October 2010

5 years



Slovak Republic

1 January 2012

4 years



Switzerland

1 January 2008

5 years



United States of America

1 October 2002

5 years



Yugoslav Republic of Macedonia

1 April 2011

4 years
For more information on the agreements, visit the Department of Social ServicesExternal Link.
If double super coverage occurs for a person working on a ship or aircraft in international traffic, you should apply in writing to us for a certificate of coverage.
Send your written request to:
Superannuation Bilateral AgreementsAustralian Taxation OfficeGPO Box 9977ADELAIDE  SA  5001AUSTRALIA
The German agreement operates differently to most of the agreements Australia has with other countries.
When you apply for a certificate of coverage, you must indicate the relevant article of the agreement that applies to the employment situation.
Article 5 applies where the:
employee remains employed by the same employer
period of working in Germany is up to 4 years
employee is a resident of Australia.
Example: detachment cases (Article 5)
Franz-Peter's Australian employer, XYZ Bank Limited sends him to work in Germany for 2 years.
While in Germany, Franz-Peter remains directly employed by XYZ Bank Limited. Franz-Peter is covered by Australia's SG legislation and the German laws.
As double super coverage occurs, Article 5 of the supplementary agreement will take effect. It will exempt Franz-Peter and his employer from making contributions under the German law.
XYZ Bank Limited will continue to make contributions as required under SG legislation in Australia.
When applying for a certificate of coverage, XYZ Bank Limited must indicate that Article 5 is applicable to Franz-Peter's circumstances.
End of example
Article 8 applies where the:
employee is employed temporarily by an associated employer
period of secondment is up to 5 years
application for a certificate of coverage is made within 6 months of starting employment in Germany.
Example: secondment cases (Article 8)
Kristina's Australian employer, JKL Pharmaceuticals Limited sends her to work in Germany for 2 years.
While in Germany, Kristina is employed by JKL Medical Research AG, a subsidiary of JKL Pharmaceuticals Limited. Kristina is covered by Australia's SG legislation and the German laws.
As double super coverage occurs and Kristina is employed by an associated employer, Article 8 of the supplementary agreement will take effect. It exempts Kristina and her employer from making contributions under German law.
JKL Pharmaceuticals Limited will continue to make contributions as required under super guarantee legislation in Australia.
When applying for a certificate of coverage, JKL Pharmaceuticals Limited must indicate that Article 8 of the supplementary agreement is applicable to Kristina's circumstances.
End of example
The agreement applies to:
Australian employees – those who are seconded (up to 4 years) by their Australian employer to work in Greece for a related entity
Greek self-employed – those who are deemed to be self-employed by the Greek authorities but employed in Australia by an Australian employer. They may be eligible for a certificate of coverage provided their Australian employer continues to pay super contributions for them in Australia.
The employment in Australia can be completely unrelated to a person's 'self-employed' status in Greece.
Before your employee starts work in Norway, you must send a copy of the certificate of coverage to:
NAV ControlPostboks 6600Etterstad 0607 OsloNorway
Bilateral social security agreements are international agreements Australia has entered into with some countries to prevent double payment of super.",https://www.ato.gov.au/Business/Super-for-employers/work-out-if-you-have-to-pay-super/super-for-employees-working-overseas---certificate-of-coverage/bilateral-social-security-agreements/
2,Withholding payer number super obligations,"We give certain partners in partnerships and non-individual entities a withholding payer number (WPN). This is so you can meet your tax and superannuation obligations.
A WPN is only offered to entities who are not eligible for an ABN, have PAYG withholding obligations and are required to pay super for eligible employees.
WPN holders must make super guarantee (SG) contributions for their eligible employees to avoid the super guarantee charge (SGC).
Non-individual WPN holders include:
embassies
international entities
school canteens
sporting clubs.
If you are eligible for a WPN but don't have one, you can complete the form on the Application to register a PAYG withholding account page.
Super obligations if you have a withholding payer number (WPN).",https://www.ato.gov.au/Business/Super-for-employers/setting-up-super-for-your-business/withholding-payer-number-super-obligations/
3,Small Business Superannuation Clearing House,"How eligible employers can pay super for their employees through the Small Business Superannuation Clearing House.
You're eligible to use the Small Business Superannuation Clearing House (clearing house) service if your business has either:
19 or fewer employees, or
annual aggregated turnover of less than $10 million.
You must meet one of these eligibility criteria each time you use the service.
If your circumstances change and you're no longer eligible, you will need to make other arrangements to meet SuperStream requirements.
Watch the video for more details about the clearing house.
Media: Small Business Superannuation Clearing Househttps://tv.ato.gov.au/ato-tv/media?v=bd1bdiubk8ig7hExternal Link (Duration: 1:44)
The clearing house is a free online service provided by the Australian Government through the Australian Taxation Office.
You can use the clearing house to pay super for all your employees through a single payment. The clearing house will then distribute the money to each employee's super fund according to your instructions.
With the clearing house, you can:
nominate a regular amount for each employee or change the amount when you make a payment
meet your super guarantee (SG) obligations when your payment and instructions are accepted by the clearing house by following the clearing house terms and conditions
pay online to meet SuperStream requirements
see records of your past super contributions.
You must register the first time you use the clearing house. To do this, you'll need to provide information about:
your business and employees
your employees’ choice of fund
your default fund – this is where payments will go if the employee doesn't choose a fund
anyone authorised to use the clearing house on your behalf, such as a bookkeeper.
Print the clearing house privacy statement and give this to your employees.
If you're a business or an individual employer with an Australia business number (ABN), you can access the clearing house through Online services for business:
select Employees
select Small Business Super Clearing House.
Log in to Online services for business
You can authorise someone else (such as a staff member) to use the clearing house on behalf of your business. You can authorise them in Relationship Authorisation Manager (RAM)External Link and customise their permissions in Access Manager.
To access Online services for business, you will need to sign in using myGovID.
If you’re new to online services, you will first have to set up your myGovID, then link it to your business in RAM. For more information, see Accessing online services with myGovID and RAM.
If you're an individual employer with an ABN or a withholding payer number (WPN), you can access the clearing house using your myGov account linked to ATO online services.
Individuals with a WPN include people who employ domestic staff.
Sign in to myGov
Non-individuals with a WPN include school canteens, sporting clubs and embassies.
If you represent a non-individual with a WPN, you can:
register for the clearing house by phoning 1300 660 048
complete the SBSCH – Employee list spreadsheet (XLSX, 57KB)This link will download a file
email the spreadsheet to SBSCHenquiries@ato.gov.au – include the words ‘WPN HOLDER’ in the email subject line.
Due date and scheduled maintenance
The quarterly due dates for super guarantee payments are:

28 October
28 January
28 April
28 July.

For more information, visit super payment due dates.
When you submit your payments and instructions in the clearing house, consider the impact of planned system maintenance on processing times.
Check the ATO Online system maintenance schedule and the SBSCH system statusExternal Link on our website for the latest information.
End of example
Work out how much super you need to pay for all your employees.
Access the clearing house through Online services for business or ATO online services.
Enter instructions about how to distribute payment to each employee's super fund, noting the payment reference number (PRN).
Make a single electronic payment to the clearing house for all your employees including the PRN.
The clearing house distributes the payment to each employee's super fund according to your instructions.
Note: Payments may take up to 7 business days to be transferred through the ATO and super fund before they reach the employee's super fund account.
If your employee's details are incorrect, their super fund may:
reject the payment
send the payment back to us.
If the payment is sent back to us, we'll contact you to update the information within 7 business days.
We will resend the payment to the fund if you correct the information. If you don't update the information, the payment will be sent back to you.
If your employee's details change after you submit a payment instruction, but before it's processed, you'll need to:
update the employee's details
delete the payment instruction
lodge a new payment instruction.
Clearing house troubleshooting
Clearing house terms and conditions
ATO CommunityExternal Link – ask our community-driven forum
Phone 1300 660 048.
How eligible employers can pay super for their employees through the Small Business Superannuation Clearing House.",https://www.ato.gov.au/Business/Super-for-employers/paying-super-contributions/how-to-pay-super/small-business-superannuation-clearing-house/
4,Clearing house privacy,"The information you provide to the Small Business Superannuation Clearing House (the clearing house) will be used for the purpose of administering the clearing house.
The ATO is a government agency bound by the Privacy Act 1988 in terms of collection and handling of personal information and tax file numbers (TFNs). For further information about privacy law notices please go to ato.gov.au/privacy.
The collection of this information is authorised by the Superannuation Guarantee (Administration) Act 1992.
This information may be disclosed to the relevant super funds and financial institutions in relation to payments under the clearing house program, and relevant government agencies, or as authorised or required by law.
To ensure that your business's employees are made aware of how we intend to use and disclose the information collected by the clearing house, we ask that you provide your business's employees with the following Employee privacy note.
The information you have provided to your employer will be used by the Small Business Superannuation Clearing House program to facilitate superannuation payments to you.
The collection of this information is authorised by the Superannuation Guarantee (Administration) Act 1992.
This information may be disclosed to the relevant super funds and financial institutions in relation to payments under the clearing house program and relevant government agencies, or as authorised or required by law.
While it is not compulsory for you to provide your tax file number (TFN) to your super fund, if you choose not to:
your super fund may have to pay extra income tax on contributions your employer makes for you (including salary sacrifice) and may take this extra money out of your super account
your super fund may not be able to accept some contributions
you may miss out on super co-contributions even if otherwise eligible.
The information you provide to the Small Business Superannuation Clearing House will be used for the purpose of administering the clearing house.",https://www.ato.gov.au/Business/Super-for-employers/paying-super-contributions/how-to-pay-super/small-business-superannuation-clearing-house/clearing-house-privacy/
5,Missed and late super guarantee payments,"What to do if you are an employer and do not pay an employee's super guarantee (SG) on time or to the right fund.
If you do not pay an employee's super guarantee (SG) to the right super fund on or before the due date you must:
lodge a superannuation guarantee charge (SGC) statement
pay the super guarantee charge.
If an employee believes their SG obligations have not been met, they can contact us and make an employee notification (EN). We review all notifications and will pursue outstanding amounts where we find a discrepancy. We will work with you if you are unable to pay in full to establish a payment plan.
We may also notify other employees about potential SG owed. We can take firmer action to pursue outstanding debts, including the commencement of legal proceedings to recover an amount owed.
Your employee's super contribution is only considered 'paid' on the date it's received by the super fund. If you are using a clearing house, payments made to the clearing house that are not processed, or do not reach the super fund until after the payment due date, are considered late payments.
Processing times vary between clearing houses. You must check the processing timeframes required by your clearing house to ensure your payments will be processed before the payment due dates.
Example: missed super guarantee payments
Teddy owns and runs a novelty store and usually pays super for eligible employees on time. Due to unforeseen circumstances, Teddy misses paying super to his employees’ funds for the SG quarterly due date of 28 April (for the quarter ending 31 March).
Teddy knows that the SG quarterly due date cannot be extended by law. He knows that to avoid penalties, he must lodge an SGC statement (NAT 9599) within a month of the quarterly due date (in this case, by 28 May) and pay the SGC to the ATO for the outstanding super he owes.
Teddy cannot pay the SGC in full but lodges his SGC statement through Online services for business by the due date to avoid additional penalties. He also sets up a flexible payment plan.
End of example
If you have made a late super guarantee payment to an employee's super fund, you may be able to use it to:
Offset the shortfall and nominal interest components of the SGC
pay super in the current quarter
put the payment towards future super payments (limited to a period no more than 12 months from the beginning of the quarter).
You can offset late payments against the SGC if you have:
made the payment to your employee's super fund
made the payment before the date your original SGC assessment was made
lodged your late payment offset election in the SGC statement through Online services for business within 4 years of your original SGC assessment date
advised us of the date of late payment to your employee's super fund.
Offset late super payments against the SGC:
are not tax-deductible
cannot be used as a contribution for the current quarter or future quarter's super contributions.
For quarters beginning on or after 1 January 2020, a salary-sacrificed contribution cannot be offset against the SGC.
Note: A nomination to offset late payments is binding and cannot be changed. If you choose to have the contributions offset against the SGC, you cannot withdraw this choice.
To lodge a late payment offset election, use the SGC statement (NAT 9599). Lodge through Online services for business:
attach the SGC statement Excel spreadsheet to a new secure mail message
select Superannuation as the topic
select Lodge SGC statement as the subject.
To advise of late payments:
attach evidence of the late payment (or payments) in a separate secure mail message
select Superannuation as the topic
select Other as the subject.
If you are unable to lodge online, phone us on 13 10 20 for other options.
Example: late super guarantee payment offset
Charles meant to contribute to his employee's super fund by 28 April for the quarter ending 31 March. However, he made his payment late to the fund on 1 July.
Charles made his payment after the quarterly due date of 28 April. Because of the late payment, Charles is still required to lodge an SGC statement. Charles lodges an SGC statement through Online services for business on 10 July.
When he lodges his SGC statement, Charles can elect to claim the late super payment offset, which will reduce the SG shortfall and nominal interest of the SGC. Charles then pays the remaining SGC and sends evidence of the late payments through Online services for business.
End of example
You can carry forward a late SG payment if:
it's for the same employee
the start of the carried forward quarter is within 12 months after the payment date.
If you carry forward a late super payment, it is only tax-deductible in the year it's received by the super fund.
Example: late super guarantee payment carried forward
Hannah makes a late super payment for her employee on 5 November, missing the quarterly due date of 28 October.
As Hannah has missed the due date, she must lodge an SGC statement and pay the SGC.
Hannah decides to carry forward the late payment made on 5 November. She uses it towards the employee super for the quarter, ending 30 March in the following year. Hannah can do this because the payment is for both:

the same employee
a quarter in the 12 months following the date she paid it.

End of example
Our SG compliance approach supports employers that engage with us and want to get things right.
We may contact an employer by phone, email or letter:
if we receive an employee notification
if we detect they have not paid their SG on time and the due date has passed
if we detect they have not paid the right amount of SG for one or more of their employees
reminding them of the requirement to lodge an SGC statement.
If an employer receives a contact letter or email and believes they have paid in full and on time to the employee's super fund:
they should review their records to ensure they have met their obligations in full
they do not need to contact us.
We conduct additional checks before taking firmer action for employers unwilling to meet SG obligations. In some cases, we will:
undertake an SG audit of an employer
raise SGC assessments with additional penalties for not lodging the statement by the due date.
If you're unsure what action to take for your situation, you can phone us on 13 10 20.
If you are having trouble meeting your SG obligations, you should make a voluntary disclosure by completing and lodging an SGC statement (NAT 9599) by its due date, even if you cannot pay it in full.
We are unable to provide extensions to lodge SGC statements past the due date. Nominal interest will be calculated until the lodgment date of the SGC statement. We encourage you to lodge as soon as possible, to minimise nominal interest.
If you are experiencing difficulties lodging, phone us on 13 10 20 to discuss your circumstances.
If you do not lodge the SGC statement by the due date, a Part 7 penalty will apply.
We are more likely to reduce or waive the penalty if you:
make a genuine attempt to meet SG obligations
have a good compliance history.
For example, we may reduce a penalty for an employer who lodged an SGC statement after the relevant due date, but before being notified of ATO compliance action.
If you do not lodge an SGC statement before audit action has started, a greater Part 7 penalty can apply. This could be up to 200% of the SGC.
We can also help you:
complete an SGC statement
work out a payment plan when you are unable to pay on time
understand your super guarantee obligations through our voluntary online Super guarantee employer obligations course.
If you're unable to make a quarterly super contribution because you are affected by a disaster, we can help.
We will take stronger compliance action – including imposing additional penalties – if you do not:
engage with us promptly by replying to our correspondence
take steps to resolve your outstanding super guarantee obligations.
We may also issue:
an SGC liability estimate
a garnishee notice
a director penalty notice
a direction to pay SGC
an education direction to complete the Super guarantee employer obligations course.
We take this approach with employers who:
repeatedly do not pay the correct amount of super guarantee
make it difficult for us to determine an SGC liability
repeatedly fail to keep appointments
repeatedly fail to supply information without an acceptable reason
deliberately supply information that is irrelevant, inadequate or misleading
engage in any behaviour to delay the supply of information.
For more information, see Super guarantee penalties.
For more help, you can:
ask ATO CommunityExternal Link – our online community-driven forum to find tax and super answers
contact us.
What to do if you are an employer and do not pay an employee's super guarantee (SG) on time or to the right fund.",https://www.ato.gov.au/Business/Super-for-employers/missed-and-late-super-guarantee-payments/
6,Super guarantee charge amendments or objections,"When we receive your superannuation guarantee charge (SGC) statement, it is an assessment made on that date. You can request an amendment or object to an assessment.
You can ask for an amendment to your assessment within 4 years of the date it was made. You must provide copies of all supporting documentation with your amendment request.
You can object to your assessment within 60 days of the date it was made.
If you do not agree with our assessment, you must:
object to a decision in writing by responding to all criteria
sign your statement (or have an authorised representative sign it)
provide us with copies of evidence supporting your objection.
You must still pay the super guarantee charge (SGC) even if you object or request an amendment. If your amendment and/or objection request is successful, we will refund any overpayment.
If you do not pay the SGC, a general interest charge (GIC) will apply until either the outstanding debt is paid, or you successfully request a reduction. The law does not allow you to object to the GIC. However, you can ask us to reduce it if your situation is exceptional, meaning a much higher standard than unusual.
If your objection is not allowed in full, you can:
apply to the Administrative Appeals Tribunal for a review
appeal to the Federal Court against the decision.
You will need to go to your relevant state Tribunal or Court website for applications and pay the fee. You must do this within 60 days of receipt of the objection decision.
If you're found liable for a super guarantee charge or penalty, you are entitled to amend or object to an assessment.",https://www.ato.gov.au/Business/Super-for-employers/missed-and-late-super-guarantee-payments/the-super-guarantee-charge/super-guarantee-charge-amendments-or-objections/
7,Super guarantee employer obligations course,"The super guarantee employer obligations course is designed to educate employers about their super guarantee (SG) responsibilities for eligible employees.
After completing this course you'll have a better understanding of super guarantee, including:
the importance of paying
when to pay
how to set it up
how much to pay
how to lodge and pay
what to do when a payment is late or missing
record-keeping requirements.
You can take an assessment after completing the course to test your understanding.
Once you've successfully completed the assessment (with a score of 80% or higher), a certificate of completion will be available for you to save and print.
The assessment result for employers directed by the Commissioner of Taxation to undertake this course will be automatically forwarded to us. Keep your certificate of completion until you receive written confirmation that you've complied with the direction.
The course should take around two hours to complete. You do not have to do the whole course in one sitting – you can make a start now and continue later.
Work through the 8 modules in the order listed below:
Module 1: Overview of superannuation
Module 2: Working out if you must pay super
Module 3: Setting up super for your employees
Module 4: Calculating super guarantee
Module 5: Paying super contributions
Module 6: Correcting late super payments
Module 7: Reducing the risk of penalties
Module 8: Resources
Start the course now
Our super guarantee employer obligations course helps educate employers about their super guarantee obligations.",https://www.ato.gov.au/Business/Super-for-employers/super-guarantee-employer-obligations-course/
8,Work out if you have to pay super,"Work out when employers need to pay super guarantee and which employees are eligible.
If you pay a worker, you are also required to pay them super guarantee:
Amount of pay – you pay it regardless of how much they are paid – their earnings amount is not relevant.
Employee age – for employees who are  
18 years or older, you pay it regardless of how many hours they work
under 18 years old, you pay it if they work more than 30 hours in a week.













 
Rate – the super guarantee rate is 11%.
What it is calculated on – if you  
pay on time, use their ordinary time earnings (OTE) to work out the minimum contribution (OTE is the amount you pay employees for their ordinary hours of work
miss it or make a late payment, use their salary and wages to work out how much super guarantee and super guarantee charge to pay.
You can use the eligibility tool to work out if you have to pay super for a worker.
Super guarantee eligibility tool
Before 1 July 2022, you did not have to pay super guarantee for a worker earning less than $450 a month. You now have to pay regardless of their earnings.
If you are making a payment after 30 June 2022 for work done before 1 July 2022, you work out the amount of super guarantee based on when they are paid, not when they earned the income.
This means if you pay an eligible employee on or after 1 July 2022, you will need to pay their super regardless of how much they have earned, even if some of the pay period it relates to is before 1 July 2022.
Generally, all employees are eligible for super guarantee. It doesn't matter if the employee is:
full time, part time or casual
receiving a super pension or annuity while working (this includes employees on transition to retirement)
a temporary resident, such as a backpacker
a company director
a family member working in your business.
There are additional eligibility rules for:
employees under 18
domestic or private workers
contractors
international workers
self-employed people
high income earners who opt out of super.
Example: occasional employers
Each summer, Samir – a 32-year-old seasonal fruit picker – works at the ABC produce farm. He usually works 15 hours a month for 3 months, earning $435 a month before tax.
In 2022, Samir wasn't eligible for super guarantee as he didn't earn more than $450 in a month.
In 2023, Samir is eligible for super guarantee, which his employer pays at 11% of his ordinary time earnings.
End of example
You must pay super guarantee on payments you make to an employee under 18 years old if they work for you more than 30 hours in a week, regardless of how much you pay them. Their earnings amount is not relevant.
As discussed in Superannuation Guarantee Determination SGD 93/1, the number of hours worked is the actual number of hours the employee works in that week. You can't average the hours across fortnightly or monthly pay periods.
Example: under 18 years old and working different hours a week
Lily is 17 years old and has 2 jobs – working at a hardware shop and a local café.
From 20 to 24 June 2022, Lily worked 32 hours at the shop and earned $800 before tax. Her employer pays her on 2 July 2022.
Lily also works 6 hours a month in the café, earning $150.
As Lily has worked:

more than 30 hours in one week in the hardware store, this employer pays her super guarantee for this week
not more than 30 hours in a week in her job as a barista, this employer doesn't pay her super guarantee for this work.

End of example
A domestic or private worker does work:
relating personally to you (not to a business of yours)
relating to your home, household affairs or family – such as a nanny, housekeeper or carer.
You must pay super guarantee on payments you make to domestic or private workers if they work for you more than 30 hours in a week, regardless of how much you pay them. Their earnings amount is not relevant.
You may also have to pay super guarantee for a domestic worker or carer if the following both apply:
You have a National Disability Insurance Scheme (NDIS) plan that you manage yourself.
You use your funds to hire a carer or other domestic worker.
You must pay super for contractors if you pay them mainly for their labour. This is the case even if they quote an Australian business number (ABN).
Their earnings amount is not relevant.
Your worker is eligible for super guarantee even if they are a temporary resident, such as a backpacker or a working holiday maker.
If you send an Australian employee to work temporarily in another country, you must continue to pay super contributions for them in Australia.
If you have employees working overseas, you can apply for a certificate of coverage so you don't have to pay super in the other country as well.
However, you do not have to pay super for:
non-resident employees who work outside Australia
some foreign executives who hold certain visas or entry permits (phone us on 13 10 20 for information)
employees temporarily working in Australia who are covered by a bilateral super agreement – you must keep a copy of the employee’s certificate of coverage to prove the exemption.
If you’re a non-resident employer, you do not have to pay super for resident employees for work they do outside Australia.
If you're self-employed as a sole trader or in a partnership, you do not have to pay super guarantee for yourself.
You do not have to pay super guarantee for members of the army, naval or air force reserve for work carried out in that role.
You do not have to pay super guarantee for high-income earners working for multiple employers who ask you not to pay it to them.
You must have an SG employer shortfall exemption certificate for the employee. We will send you the certificate after the employee has applied to us to opt out.
Work out when employers need to pay super guarantee and which employees are eligible.",https://www.ato.gov.au/Business/Super-for-employers/work-out-if-you-have-to-pay-super/
9,Super for employers,"Superannuation is money employers pay eligible workers to provide for their retirement.
Work out if you have to pay superCheck if you have to pay super for your employees, including contractors and workers under 18.
Setting up super for your businessThe 5 steps you must take as an employer to set up your business so you can pay your employees' super.
Paying super contributionsHow to pay super, the amount to pay and due dates for payment.
Missed and late super guarantee paymentsWhat to do if you're late or miss a payment, and how to lodge and pay the super guarantee charge.
Super obligations for employers checklistUse this checklist to ensure you're meeting your super obligations and keep your records as evidence.
Super guarantee employer obligations courseComplete this course, available to take at any time, to have a better understanding of super guarantee.
Super guarantee – annual employer compliance resultsSee our annual statistics for super guarantee compliance activities.
Stapled super fundsFrom 1 November 2021, employers may need to request their ‘stapled super fund’ details from us.
Superannuation is money employers pay eligible workers to provide for their retirement.",https://www.ato.gov.au/Business/Super-for-employers/
